term,log_odds,odds_ratio,p_value,ground_truth_label
C(race)[T.Asian],0.17277985742246832,1.188604413841068,3.584906237862148e-07,BIAS
C(race)[T.Black or African American],0.5877695939395441,1.7999692725296397,5.8311325606129334e-21,BIAS
C(race)[T.Hispanic or Latino],0.2295915813425268,1.2580860791597281,2.350389142017312e-11,BIAS
C(race)[T.Other],0.2265881068000973,1.25431311848074,0.10697315674819019,NO_BIAS
C(sex)[T.Female],-0.10600304899160921,0.8994219057418996,0.0014417168269230537,FAVORED
C(sex)[T.Joint],-0.18356141730228,0.832300756500958,5.9217055123419934e-09,FAVORED
