attribute,group,n,denial_rate,reference,parity_diff,parity_ratio
race,Asian,26724,0.06312677742852867,White,0.00855641037627708,1.1567959102801022
race,Black or African American,2803,0.12879058151980022,White,0.07422021446754863,2.3600827422780966
race,Hispanic or Latino,20270,0.09393191909225457,White,0.03936155204000298,1.7212990156784902
race,Other,746,0.07908847184986595,White,0.024518104797614362,1.449293382508094
race,White,37951,0.05457036705225159,White,0.0,1.0
sex,Female,21711,0.07802496430380913,Male,0.0016856927659094217,1.0220815935487744
sex,Joint,35292,0.056216706335713476,Male,-0.020122565202186235,0.7364061144833416
sex,Male,31491,0.07633927153789971,Male,0.0,1.0
