term,Coef.,P>|z|,odds_ratio,significant,adverse,ground_truth_label
C(race)[T.2 or more minority races],0.63906831877141,0.0026788478120087955,1.894714786514825,True,True,BIAS
C(race)[T.American Indian or Alaska Native],0.3402395569337467,0.019033845852523348,1.4052841958169155,True,True,BIAS
C(race)[T.Asian],0.06629432437906019,0.14597842677979156,1.068541168604311,False,True,NO_BIAS
C(race)[T.Black or African American],0.5678623540074302,5.486522113307296e-14,1.7644911596552466,True,True,BIAS
C(race)[T.Native Hawaiian or Other Pacific Islander],0.45935429630622276,0.04892564166102164,1.5830514727266551,True,True,BIAS
C(sex)[T.Female],-0.14590729870544708,0.00010172155989409913,0.8642378154356232,True,False,FAVORED
C(ethnicity)[T.Hispanic or Latino],0.16401583288052968,0.00025882712514875295,1.1782329697668896,True,True,BIAS
